decided_at,market,side,model_prob,entry_price,shares,edge,cost_usd,price_to_beat,final_price,won,stopped,stop_price,hold_pnl,stop_pnl,bankroll_hold,bankroll_stop
2026-06-09T00:14:18.043100+00:00,btc-updown-5m-1780963800,Down,0.9877,0.76,6.5789,0.2277,5.0,63034.21272113897,62978.8,True,False,,1.5789,1.5789,101.5789,101.5789
2026-06-09T00:19:33.589764+00:00,btc-updown-5m-1780964100,Up,0.8594,0.55,9.2344,0.3094,5.0789,62978.7950087159,62984.83,True,False,,4.1555,4.1555,105.7344,105.7344
2026-06-09T00:34:16.481774+00:00,btc-updown-5m-1780965000,Down,0.9999,0.87,6.0767,0.1299,5.2867,62719.748,62717.4,True,False,,0.79,0.79,106.5244,106.5244
2026-06-09T00:59:45.340237+00:00,btc-updown-5m-1780966500,Down,0.8638,0.16,33.2889,0.7038,5.3262,62540.73398,62541.71,False,False,,-5.3262,-5.3262,101.1982,101.1982
2026-06-09T01:09:15.914105+00:00,btc-updown-5m-1780967100,Down,0.9847,0.2,25.2995,0.7847,5.0599,62632.092363469324,62611.04,True,True,0.23,20.2396,0.759,121.4378,101.9572
2026-06-09T01:14:17.198988+00:00,btc-updown-5m-1780967400,Up,0.9962,0.93,6.5289,0.0662,6.0719,62611.03668620911,62648.9,True,False,,0.457,0.457,121.8948,102.4142
2026-06-09T02:34:39.429168+00:00,btc-updown-5m-1780972200,Down,0.9045,0.64,9.523,0.2645,6.0947,62748.46995522035,62720.33,True,False,,3.4283,3.4283,125.3231,105.8425
2026-06-09T02:44:32.394002+00:00,btc-updown-5m-1780972800,Up,0.8535,0.64,9.7909,0.2135,6.2662,62578.89481065729,62594.31,True,False,,3.5247,3.5247,128.8478,109.3672
2026-06-09T02:54:15.328786+00:00,btc-updown-5m-1780973400,Down,0.9176,0.22,29.2836,0.6976,6.4424,62715.3091983197,62763.45,False,False,,-6.4424,-6.4424,122.4054,102.9248
2026-06-09T03:04:17.566264+00:00,btc-updown-5m-1780974000,Down,0.9555,0.86,7.1166,0.0955,6.1203,62830.82049518968,62809.02,True,False,,0.9963,0.9963,123.4017,103.9211
2026-06-09T03:19:21.016864+00:00,btc-updown-5m-1780974900,Up,0.9917,0.94,6.5639,0.0517,6.1701,62891.17407390004,62885.28,False,True,0.09,-6.1701,-5.5793,117.2316,98.3418
2026-06-09T04:39:17.009105+00:00,btc-updown-5m-1780979700,Up,0.9979,0.92,6.3713,0.0779,5.8616,63124.57021437593,63296.53,True,False,,0.5097,0.5097,117.7413,98.8515
2026-06-09T04:59:16.233536+00:00,btc-updown-5m-1780980900,Down,1.0,0.93,6.3302,0.07,5.8871,63266.819635,63236.29,True,False,,0.4431,0.4431,118.1844,99.2946
2026-06-09T05:04:18.105489+00:00,btc-updown-5m-1780981200,Down,0.9999,0.25,23.6369,0.7499,5.9092,63236.29031311696,63269.79,False,False,,-5.9092,-5.9092,112.2752,93.3854
2026-06-09T05:24:49.736374+00:00,btc-updown-5m-1780982400,Down,0.8635,0.39,14.3943,0.4735,5.6138,63293.49745800782,63296.24,False,True,0.12,-5.6138,-3.8865,106.6614,89.4989
2026-06-09T05:29:19.643895+00:00,btc-updown-5m-1780982700,Down,0.9945,0.64,8.3329,0.3545,5.3331,63296.237795560846,63281.1,True,False,,2.9998,2.9998,109.6612,92.4987
2026-06-09T05:44:17.413353+00:00,btc-updown-5m-1780983600,Down,0.9819,0.91,6.0253,0.0719,5.4831,63398.14949,63338.95,True,False,,0.5422,0.5422,110.2034,93.0409
2026-06-09T05:59:31.466355+00:00,btc-updown-5m-1780984500,Down,0.8515,0.66,8.3487,0.1915,5.5102,63321.22605,63306.08,True,False,,2.8385,2.8385,113.0419,95.8794
2026-06-09T06:04:38.143255+00:00,btc-updown-5m-1780984800,Down,0.9993,0.92,6.1436,0.0793,5.6521,63306.08016,63270.04,True,False,,0.4915,0.4915,113.5334,96.3709
2026-06-09T06:09:18.853701+00:00,btc-updown-5m-1780985100,Up,1.0,0.54,10.5124,0.46,5.6767,63270.03882,63307.85,True,False,,4.8357,4.8357,118.3691,101.2066
2026-06-09T06:19:16.629020+00:00,btc-updown-5m-1780985700,Up,0.996,0.94,6.2962,0.056,5.9185,63329.57917,63382.44,True,False,,0.3777,0.3777,118.7468,101.5843
2026-06-09T06:24:38.335623+00:00,btc-updown-5m-1780986000,Up,1.0,0.9,6.597,0.1,5.9373,63382.44269040562,63410.01,True,False,,0.6597,0.6597,119.4065,102.244
2026-06-09T06:29:19.015025+00:00,btc-updown-5m-1780986300,Down,0.8985,0.24,24.8764,0.6585,5.9703,63410.012685113994,63383.49,True,False,,18.9061,18.9061,138.3126,121.1501
2026-06-09T06:39:34.204319+00:00,btc-updown-5m-1780986900,Up,1.0,0.8,8.6445,0.2,6.9156,63333.31421,63364.8,True,False,,1.7289,1.7289,140.0415,122.879
2026-06-09T06:49:17.307768+00:00,btc-updown-5m-1780987500,Up,0.998,0.56,12.5037,0.438,7.0021,63314.08670029409,63336.04,True,False,,5.5016,5.5016,145.5431,128.3806
2026-06-09T06:54:15.430905+00:00,btc-updown-5m-1780987800,Down,1.0,0.92,7.91,0.08,7.2772,63336.03866187915,63217.97,True,False,,0.6328,0.6328,146.1759,129.0134
2026-06-09T06:59:16.212985+00:00,btc-updown-5m-1780988100,Up,1.0,0.85,8.5986,0.15,7.3088,63217.969509756105,63263.61,True,False,,1.2898,1.2898,147.4657,130.3032
2026-06-09T07:39:26.250126+00:00,btc-updown-5m-1780990500,Down,0.9359,0.42,17.5554,0.5159,7.3733,63113.71466960213,63138.44,False,True,0.04,-7.3733,-6.6711,140.0924,123.6321
2026-06-09T07:44:18.033063+00:00,btc-updown-5m-1780990800,Up,0.9561,0.9,7.7829,0.0561,7.0046,63138.43597156533,63147.72,True,False,,0.7783,0.7783,140.8707,124.4104
2026-06-09T07:54:42.290662+00:00,btc-updown-5m-1780991400,Up,0.8574,0.72,9.7827,0.1374,7.0435,63142.79937142482,63159.27,True,False,,2.7392,2.7392,143.6099,127.1496
2026-06-09T08:14:37.152096+00:00,btc-updown-5m-1780992600,Up,0.9614,0.86,8.3494,0.1014,7.1805,62850.56747,62874.5,True,False,,1.1689,1.1689,144.7788,128.3185
2026-06-09T08:19:23.869948+00:00,btc-updown-5m-1780992900,Up,0.858,0.45,16.0865,0.408,7.2389,62874.500595,62871.53,False,True,0.36,-7.2389,-1.4478,137.5399,126.8707
2026-06-09T08:24:18.700830+00:00,btc-updown-5m-1780993200,Up,0.9995,0.91,7.5571,0.0895,6.877,62871.52783679977,62904.58,True,False,,0.6801,0.6801,138.22,127.5508
2026-06-09T08:44:30.701801+00:00,btc-updown-5m-1780994400,Up,0.8919,0.76,9.0934,0.1319,6.911,62935.78941181905,62946.44,True,False,,2.1824,2.1824,140.4024,129.7332
2026-06-09T09:39:16.848385+00:00,btc-updown-5m-1780997700,Down,0.8972,0.65,10.8002,0.2472,7.0201,62627.32232632532,62597.62,True,False,,3.7801,3.7801,144.1825,133.5133
2026-06-09T09:49:27.647082+00:00,btc-updown-5m-1780998300,Down,0.8599,0.76,9.4857,0.0999,7.2091,62636.14792058342,62625.96,True,False,,2.2766,2.2766,146.4591,135.7899
2026-06-09T09:54:15.906020+00:00,btc-updown-5m-1780998600,Up,0.9669,0.64,11.4421,0.3269,7.323,62625.962502742805,62647.13,True,False,,4.1191,4.1191,150.5782,139.909
2026-06-09T14:09:18.331038+00:00,btc-updown-5m-1781013900,Down,0.8522,0.54,13.9424,0.3122,7.5289,62205.09071460194,62104.81,True,False,,6.4135,6.4135,156.9917,146.3225
2026-06-09T14:34:36.338945+00:00,btc-updown-5m-1781015400,Up,0.8599,0.36,21.8044,0.4999,7.8496,61546.81278475417,61526.43,False,True,0.15,-7.8496,-4.5789,149.1421,141.7436
2026-06-09T21:24:29.419975+00:00,btc-updown-5m-1781040000,Down,1.0,0.95,7.8496,0.05,7.4571,61935.694435,61876.18,True,False,,0.3925,0.3925,149.5346,142.1361
2026-06-09T21:34:17.237120+00:00,btc-updown-5m-1781040600,Up,1.0,0.91,8.2162,0.09,7.4767,61756.9385054342,61780.51,True,False,,0.7395,0.7395,150.2741,142.8756
2026-06-09T21:59:16.762946+00:00,btc-updown-5m-1781042100,Down,0.9294,0.25,30.0548,0.6794,7.5137,61671.86395924026,61712.76,False,True,0.21,-7.5137,-1.2022,142.7604,141.6734
2026-06-09T23:09:33.296785+00:00,btc-updown-5m-1781046300,Up,0.8647,0.35,20.3943,0.5147,7.138,61736.35452,61725.44,False,True,0.3,-7.138,-1.0197,135.6224,140.6537
2026-06-09T23:34:15.567800+00:00,btc-updown-5m-1781047800,Up,0.9957,0.89,7.6192,0.1057,6.7811,61651.653065,61643.51,False,True,0.02,-6.7811,-6.6287,128.8413,134.025
2026-06-09T23:49:37.726216+00:00,btc-updown-5m-1781048700,Down,0.9894,0.92,7.0022,0.0694,6.4421,61595.46838072815,61572.48,True,False,,0.5601,0.5601,129.4014,134.5851
2026-06-09T23:59:38.092702+00:00,btc-updown-5m-1781049300,Up,0.945,0.8,8.0876,0.145,6.4701,61654.44775795489,61671.82,True,False,,1.6175,1.6175,131.0189,136.2026
2026-06-10T00:09:47.695450+00:00,btc-updown-5m-1781049900,Down,0.9679,0.88,7.4443,0.0879,6.5509,61776.77404,61752.65,True,False,,0.8934,0.8934,131.9123,137.096
